Category,Event Name,Properties,HubSpot Integration,Description
Authentication & Account,Sign Up: Click Login,,No,User on the sign-up page clicked Login here to go to the login page.
Authentication & Account,Sign In: Click Create Account,,No,User on the login page clicked Create an account.
Authentication & Account,Sign In: Click Forgot Password,,No,User on the login page clicked Forgot your password?.
Authentication & Account,Account - Password Reset Requested,,No,User submitted a forgot-password request.
Authentication & Account,Account - Password Reset Completed,,No,User successfully reset their password via the reset link.
Authentication & Account,Account - Password Set Completed,,No,User finished setting a new password (post-registration or invite).
Authentication & Account,Set Password: Click Set Password,,No,User clicked the submit button on the set-password form.
Onboarding (Candidate),Onboarding - Registration Completed,"signUpDate, signUpMethod",No,User completed account registration. signUpMethod defaults to email.
Onboarding (Candidate),Onboarding: Click Finish Later,step,No,User bailed out of onboarding mid-flow.
Onboarding (Candidate),Onboarding - Candidate Office Searched,"zipCode, officeLevel, officeName",No,Debounced search event fired as the user types in the office search box.
Onboarding (Candidate),Onboarding - Office Step: Click Next,step,No,User clicked Next on the office selection step.
Onboarding (Candidate),Onboarding - Office Step: Click Back,,No,User clicked Back on the office step.
Onboarding (Candidate),Onboarding - Office Step: Office Selected,office (position name),No,User clicked a specific office from the search results list.
Onboarding (Candidate),Onboarding - Candidate Office Completed,"officeName, officeState, officeElectionDate, officeManuallyInput (bool)",No,Office was saved. officeManuallyInput true means the user typed in a custom office instead of selecting from ballot data.
Onboarding (Candidate),Onboarding - Office Step: Click Can't See Office,,No,User clicked Cant see my office to open the manual entry form.
Onboarding (Candidate),Onboarding - Party Step: Click Submit,step,No,User clicked Submit on the party affiliation step.
Onboarding (Candidate),Invalid Party,party,No,User tried to submit an unsupported party name.
Onboarding (Candidate),Onboarding - Candidate Affiliation Completed,affiliation,No,Party affiliation was saved successfully.
Onboarding (Candidate),Onboarding - Pledge Step: Click Submit,,No,User clicked Submit on the Good Party pledge step.
Onboarding (Candidate),Onboarding - Candidate Pledge Completed,,No,Pledge was accepted and saved.
Onboarding (Candidate),Onboarding - Complete Step: Click Go to Dashboard,,No,User clicked Go to Dashboard on the final onboarding screen.
Onboarding (Candidate),onboarding_complete,type: candidate,No,Campaign was successfully launched at the end of onboarding.
Serve Onboarding,Serve Onboarding - Getting Started Viewed,,No,Official viewed step 1 of the serve onboarding flow.
Serve Onboarding,Serve Onboarding - Meet Your Constituents Viewed,,No,Official saw the constituency insights loading screen.
Serve Onboarding,Serve Onboarding - Sworn In Viewed,,No,Official viewed the sworn-in step.
Serve Onboarding,Serve Onboarding - Sworn In Completed,,No,Official completed the sworn-in step.
Serve Onboarding,Serve Onboarding - Constituency Profile Viewed,,No,Official viewed their constituency profile/data.
Serve Onboarding,Serve Onboarding - Poll Value Props Viewed,,No,Official saw the poll feature value proposition page.
Serve Onboarding,Serve Onboarding - Poll Strategy Viewed,,No,Official viewed the poll strategy step.
Serve Onboarding,Serve Onboarding - Add Image Viewed,,No,Official viewed the add-image step for their poll.
Serve Onboarding,Serve Onboarding - Poll Image Uploaded,,No,Official uploaded a poll image.
Serve Onboarding,Serve Onboarding - Poll Preview Viewed,,No,Official previewed their poll before sending.
Serve Onboarding,Serve Onboarding - SMS Poll Sent,"sendDate, message",No,Poll was sent to constituents via SMS.
Serve Onboarding,Serve Onboarding - Success Page Viewed,,No,Official reached the success screen after completing serve onboarding.
Serve Onboarding,Serve Onboarding - SMS Poll Creation Failed,reachableConstituentCount,No,Poll creation failed because too few constituents have cell phones.
Navigation,Navigation - Top: Click Logo,pathname,No,User clicked the Good Party logo in the top nav.
Navigation,Navigation - Top: Click Avatar Dropdown,,No,User clicked their avatar to open the profile dropdown.
Navigation,Navigation - Top - Avatar Dropdown: Close Dropdown,,No,User closed the avatar dropdown.
Navigation,Navigation Top - Avatar Dropdown: Click Settings,,No,User clicked Settings in the dropdown.
Navigation,Navigation Top - Avatar Dropdown: Click Logout,,No,User clicked Logout in the dropdown.
Navigation,Navigation - Dashboard: Click Dashboard,,No,User clicked Dashboard in the left sidebar.
Navigation,Navigation - Dashboard: Click AI Assistant,,No,User clicked AI Assistant in the sidebar.
Navigation,Navigation - Dashboard: Click Voter Data,,No,User clicked Voter Data in the sidebar.
Navigation,Navigation - Dashboard: Click Door Knocking,,No,User clicked Door Knocking in the sidebar.
Navigation,Navigation - Dashboard: Click Content Builder,,No,User clicked Content Builder in the sidebar.
Navigation,Navigation - Dashboard: Click My Profile,,No,User clicked My Profile in the sidebar.
Navigation,Navigation - Dashboard: Click Community,,No,User clicked Community in the sidebar.
Navigation,Navigation - Dashboard: Click Website,,No,User clicked Website in the sidebar.
Navigation,Navigation - Dashboard: Click Voter Outreach,,No,User clicked Voter Outreach in the sidebar.
Navigation,Navigation - Dashboard: Click Contacts,,No,User clicked Contacts in the sidebar.
Navigation,Navigation - Dashboard: Click Polls,,No,User clicked Polls in the sidebar.
Dashboard,Dashboard - Candidate Dashboard Viewed,p2vCompleted (true/false),No,User loaded the main dashboard. Captures whether their Path to Victory analysis is complete.
Dashboard,Dashboard - Path to Victory: Exit Understand Path to Victory,,No,User closed the Path to Victory info modal.
Dashboard,Dashboard - Campaign Action History: Click Menu,id,No,User opened the overflow menu on a campaign history entry.
Voter Contact,Voter Outreach - Campaign Completed,"recipientCount, price, medium, method, campaignName",No,A voter outreach campaign was logged as complete. medium is the channel (texting / door knocking / phone banking etc.).
Voter Contact,Schedule Text Campaign: Exit,step,No,User exited the schedule text campaign modal.
Voter Contact,Schedule Text Campaign: Next,step,No,User advanced a step in the text campaign scheduling flow.
Voter Contact,Schedule Text Campaign: Back,step,No,User went back a step in the text campaign scheduling flow.
Voter Contact,Schedule Text Campaign: Submit,,No,User submitted the text campaign for scheduling.
Voter Contact,Schedule Text Campaign: Complete - Return to Dashboard,,No,User returned to the dashboard after completing a text campaign setup.
Voter Contact,Schedule Text Campaign: Complete - Return to Voter File,,No,User returned to the voter file after completing a text campaign setup.
Voter Contact,Schedule Text Campaign - Audience: Check Audience,,No,User checked an audience filter option.
Voter Contact,Schedule Text Campaign - Audience: Check Political Party,,No,User filtered by political party in the audience step.
Voter Contact,Schedule Text Campaign - Audience: Check Age,,No,User filtered by age in the audience step.
Voter Contact,Schedule Text Campaign - Audience: Check Gender,,No,User filtered by gender in the audience step.
Voter Contact,Schedule Text Campaign - Audience: Enter Audience Request,,No,User entered a custom audience request.
Voter Contact,Schedule Text Campaign - Script: Click Use a saved script,,No,User opted to use a previously saved script.
Voter Contact,Schedule Text Campaign - Script: Select Saved Script,,No,User selected a specific saved script.
Voter Contact,Schedule Text Campaign - Script: Click Generate a new script,,No,User opted to generate a new AI script.
Voter Contact,Schedule Text Campaign - Script: Click Add your own script,,No,User opted to write their own script.
Voter Contact,Schedule Text Campaign - Script: Submit added script,,No,User submitted their custom-written script.
Outreach Page,Outreach - View Accessed,,No,User navigated to the Outreach section.
Outreach Page,Outreach - Click Create,type,No,User clicked Create for a specific outreach channel.
Outreach Page,Voter Outreach - 10DLC Compliance Modal Viewed,source: outreach_page,YES - HubSpot,The 10DLC compliance modal was shown before the user could send texts.
Outreach Page,Voter Outreach - 10DLC Compliance Started,source: outreach_page,No,User began the 10DLC compliance registration.
Outreach Page,Voter Outreach - 10DLC Compliance Form Submitted,source: compliance_flow,YES - HubSpot workflow 1739292528,User submitted the compliance registration form.
Outreach Page,Voter Outreach - 10DLC Compliance PIN Submitted,source: compliance_flow,YES - HubSpot workflow 1739202168,User submitted their compliance PIN verification.
Outreach Page,10 DLC Compliance - Registration Submitted,,No,Full DLC compliance registration was submitted.
Outreach Page,10 DLC Compliance - PIN Verification Completed,,No,PIN verification step was completed.
Outreach Page,Voter Outreach - Payment Started,"channel, units, cost",No,User reached the payment step for a voter outreach campaign.
Outreach Page,Outreach - Social Media: Complete,"medium: social_media, price: 0, voterContacts: 0",No,User completed a social media outreach task.
Outreach Page,Outreach - Door Knocking: Complete,,No,User completed a door-knocking outreach task.
Outreach Page,Outreach - Phone Banking: Complete,,No,User completed a phone-banking outreach task.
Outreach Page,Outreach - Action Clicked,"outreachId, medium, action",No,User clicked an action on an item in the outreach table.
Polls (Create),Polls - Create Poll Clicked,,No,User clicked Create Poll on the polls list page.
Polls (Create),Polls - Poll Question Viewed,,No,User viewed the question-writing step.
Polls (Create),Polls - Poll Question Completed,Introduction (1-based index of selected intro template),No,User finished writing the poll question and moved on.
Polls (Create),Polls - Poll Bias Detection Shown,,No,The AI bias warning was surfaced for the user's question text.
Polls (Create),Polls - Poll Question Optimized,,No,User accepted the AI-suggested optimized question.
Polls (Create),Polls - Audience Selection Viewed,,No,User viewed the audience selection step.
Polls (Create),Polls - Audience Selection Completed,"Selection, RecommendedSelection (bool), Count, Cost",No,User selected an audience. Captures reach/cost and whether they chose the recommended option.
Polls (Create),Polls - Schedule Poll Viewed,,No,User viewed the scheduling step.
Polls (Create),Polls - Schedule Poll Completed,ScheduledDate,No,User set a send date for their poll.
Polls (Create),Polls - Add Image Viewed,,No,User viewed the add-image step.
Polls (Create),Polls - Add Image Completed,Image (bool),No,User finished the image step. Captures whether an image was actually added.
Polls (Create),Polls - Poll Preview Viewed,,No,User previewed their poll.
Polls (Create),Polls - Poll Preview Completed,,No,User proceeded past the preview step.
Polls (Create),Payment - Schedule and Pay Viewed,,No,User reached the payment screen in the poll creation flow.
